name,所在地,TEL,url,営業時間,定休日,image_url,免許
(有)沖縄不動産サービスエイブルネットワーク那覇新都心店,沖縄県那覇市天久 2-1-1 TAKEHARAビル１階,098-866-8126,https://www.e-uchina.net/fudosan_kaisha/5587,10:00〜18:30,毎週水曜日・年末年始,https://cdn.e-uchina.net/media/shop/005587/a40274d02fb7624b4dcb82d96b057fb010d9eaff.jpg,沖縄県知事免許(4)第3705号
沖縄不動産情報プラザ,沖縄県うるま市田場 1742,098-894-3940,https://www.e-uchina.net/fudosan_kaisha/5978,09:00〜18:00,土曜日、日曜日、祝祭日,https://cdn.e-uchina.net/media/shop/005978/d49a4ac30d44e76970bf0db95fb5e3edf7ac1e97.jpg,沖縄県知事免許(4)第3912号
沖縄不動産販売,沖縄県浦添市宮城 1-9-9,098-917-4146,https://www.e-uchina.net/fudosan_kaisha/7206,09:00〜18:00,年末年始,https://cdn.e-uchina.net/media/shop/007206/91013eb6da14127cba548901749dffc364b2709e.jpg,沖縄県知事（2）第4630号
株式会社 沖縄不動産販売,沖縄県那覇市久茂地 1-1-1,098-894-3206,https://www.e-uchina.net/fudosan_kaisha/7336,09:30〜18:30,土・日・祝日・夏期休暇・年末年始,https://cdn.e-uchina.net/media/shop/007336/78707c1dcc4885baf4d199c7f576564d0236ac84.jpg,沖縄県知事免許(2)第4741号
沖縄不動産フィールド株式会社,沖縄県那覇市辻 1-9-25 サンハイツ喜和 202,098-955-1234,https://www.e-uchina.net/fudosan_kaisha/5568,平日 09:30〜18:30土 09:30〜17:00,日曜日・祝祭日,https://cdn.e-uchina.net/media/shop/005568/2899f6b06e0a392008f89fd27220b656d17e8982.jpg,沖縄県知事免許(2)第4411号
株式会社沖縄ホーム,沖縄県石垣市平得 376-6,0980-88-0080,https://www.e-uchina.net/fudosan_kaisha/7873,09:00〜18:00,日、祝日,https://cdn.e-uchina.net/media/shop/007873/03ae1d095446b5d68db9687321d7dc67e55e3def.jpg,沖縄県知事免許(1)第5359号
沖縄リアルエステート株式会社,沖縄県那覇市松尾 1-10-24 ホークシティ那覇ビル1F,0800-805-1175,https://www.e-uchina.net/fudosan_kaisha/7876,営業A 09:30〜18:00営業B,第２、第４火曜・毎週水,https://cdn.e-uchina.net/media/shop/007876/de9e79b3d547357a9abb8826b74ccdabbf770d90.jpg,沖縄県知事免許番号（1）第5145号
沖縄リアルター(株),沖縄県沖縄市美里 5-24-6 メゾン向陽 101,098-983-4622,https://www.e-uchina.net/fudosan_kaisha/7719,09:00〜18:00,土・日曜日,https://www.e-uchina.net/asset/front/img/no-thumbnail.jpg,沖縄県知事免許(1)第4996号
沖縄ロングステイ株式会社,沖縄県北谷町美浜 1-6-7,098-926-0344,https://www.e-uchina.net/fudosan_kaisha/7755,平日 09:00〜17:00,土・日・祝・年末年始,https://cdn.e-uchina.net/media/shop/007755/30aea1cdaf65fb484b70e221611843ad985aa4b7.jpg,沖縄県知事免許番号(1)第5282号
(株)オクト管理,沖縄県那覇市松山 2-12-16 モアハウス　1F,098-869-0910,https://www.e-uchina.net/fudosan_kaisha/5095,月ー金 09:00〜19:00土 09:00〜17:00,日・祝祭日　年末年始,https://cdn.e-uchina.net/media/shop/005095/5724472b7013b3620d1cb3e5c8afff45c1c0aefe.jpg,沖縄県知事免許(2)第4429号
オズ不動産,沖縄県浦添市大平 2-7-17,098-927-2794,https://www.e-uchina.net/fudosan_kaisha/5061,09:00〜18:00,日祝祭日,https://cdn.e-uchina.net/media/shop/005061/acc6ef3fedd88799135c348fe124b0814ceff5bc.jpg,沖縄県知事免許(2)第2310号
オフィス兼島,沖縄県那覇市松尾 2-7-8 協栄浮島マンション 302,090-5738-6178,https://www.e-uchina.net/fudosan_kaisha/7521,月-金 10:00〜17:00,土曜・日曜・祝日,https://cdn.e-uchina.net/media/shop/007521/74d44b8e2bf2cb83e3594b3dc1683ebb62f3ae79.jpg,沖縄県知事(2)第4919号
OFFICE YOZA,沖縄県沖縄市美里 5-24-18 2F,098-989-5975,https://www.e-uchina.net/fudosan_kaisha/7799,月曜日～金曜日 09:00〜18:00,土曜日　日曜日　祝日　12月29日～1月3日,https://www.e-uchina.net/asset/front/img/no-thumbnail.jpg,沖縄県知事(1)第5189号
(株)おもろハウジング,沖縄県那覇市おもろまち 4-9-20 グランフォルシアおもろまち101号室,098-869-2208,https://www.e-uchina.net/fudosan_kaisha/5385,月ー金 09:30〜18:30土 09:30〜15:00,日曜・祝日・お盆・正月,https://cdn.e-uchina.net/media/shop/005385/a3c48b3436fff7312aed537090e47a7661e41aef.jpg,沖縄県知事免許(5)第3460号
親川不動産,沖縄県沖縄市仲宗根町 38-12 ﾐｵﾋﾞｴﾝﾄ仲宗根702,098-960-5570,https://www.e-uchina.net/fudosan_kaisha/7739,09:00〜18:30,水曜日,https://cdn.e-uchina.net/media/shop/007739/b3f36d8745477fcec818739a76a5314883ac30ef.jpg,沖縄県知事（1）第5411号
オレンジホーム株式会社,沖縄県那覇市壺屋 2-15-9 コーポラスYOU1F,098-832-5400,https://www.e-uchina.net/fudosan_kaisha/5928,月ー土 09:00〜18:00,日曜・祝祭日,https://cdn.e-uchina.net/media/shop/005928/71091a05c75847fcebf4c6aca6936395433d3709.jpg,沖縄県知事免許(3)第4092号
オロク商会株式会社　賃貸,沖縄県那覇市小禄 1-27-15,098-858-0037,https://www.e-uchina.net/fudosan_kaisha/7974,09:00〜17:30 土、日、祝日も営業,年末年始,https://cdn.e-uchina.net/media/shop/007974/4db0515315e911ef6c2b5e0b5b5ac69820005876.jpg,沖縄県知事免許（3）第4058号
オロク商会 株式会社,沖縄県那覇市小禄 1-27-15,098-858-0069,https://www.e-uchina.net/fudosan_kaisha/5649,09:00〜17:30,日曜・祝日も営業,https://cdn.e-uchina.net/media/shop/005649/d6abef73c377a1015e844957a88bf637f5ae692a.jpg,沖縄県知事免許(3)第4058号
(株)ガーデン,沖縄県那覇市銘苅 3-6-15 1階,098-988-6663,https://www.e-uchina.net/fudosan_kaisha/5526,09:30〜18:00,不定休,https://cdn.e-uchina.net/media/shop/005526/fceaec240e1cd8ef7d4b1119261a571d61669c8a.jpg,沖縄県知事免許(3)第3991号
開成住宅,沖縄県那覇市繁多川 5-16-7,098-853-9602,https://www.e-uchina.net/fudosan_kaisha/6385,09:30〜19:00,日曜・GW・旧盆・年末年始,https://cdn.e-uchina.net/media/shop/006385/d590fe397da61d06cf6bcd5f31677ad7b41644bb.jpg,沖縄県知事免許(2)4729号
Kaori Home,沖縄県浦添市西原 6-29-7,090-8913-1133,https://www.e-uchina.net/fudosan_kaisha/7606,10:00〜17:00,土曜日・日曜日・水曜日午後・祝祭日・年末年始,https://cdn.e-uchina.net/media/shop/007606/60f439840a91c6b8e17966f6861484d3f14e2aa5.jpg,沖縄県知事免許(1)第4957号
華業地産株式会社,沖縄県那覇市おもろまち 4-6-19 FLEXおもろまち 302,098-996-1632,https://www.e-uchina.net/fudosan_kaisha/7678,09:30〜18:30,火曜日・水曜日・年末年始,https://cdn.e-uchina.net/media/shop/007678/a04370fa4ee017519e8c966143d329a7453b6c01.jpg,沖縄県知事(1)第5056
がじゅまる不動産,沖縄県豊見城市豊見城 574-20,098-851-8369,https://www.e-uchina.net/fudosan_kaisha/7190,09:00〜18:30,日曜日,https://cdn.e-uchina.net/media/shop/007190/9c15c0004c6f7b0caf38ec26c71c24a22396859f.jpg,沖縄県知事免許番号(1)第4607号
(有)和住宅,沖縄県与那原町与那原 3062,098-944-1205,https://www.e-uchina.net/fudosan_kaisha/5220,月-土 09:00〜18:00,日曜日,https://cdn.e-uchina.net/media/shop/005220/1f633351f24232fe3fe9a4024fb60ccde0b56c08.jpg,沖縄県知事免許(6)第3005号
(株)数不動産,沖縄県那覇市牧志 3-13-60,098-988-1567,https://www.e-uchina.net/fudosan_kaisha/5949,09:00〜19:00,日・祝祭日,https://cdn.e-uchina.net/media/shop/005949/9a887a76dd15a95fb1d0ffd8c1fae226bb518d61.jpg,沖縄県知事免許(2)第3350号
(株)カチタス　沖縄店,沖縄県浦添市宮城 4-3-14,0120-502-560,https://www.e-uchina.net/fudosan_kaisha/5406,09:00〜18:00,水曜日・第1第3火曜日・年末年始,https://cdn.e-uchina.net/media/shop/005406/dae6dadffcedc05d9907a68a1e93e8f929c739e3.jpg,国土交通大臣免許(6)第5475号
桂ハウス,沖縄県浦添市宮城 2-15-2,098-875-0505,https://www.e-uchina.net/fudosan_kaisha/5164,09:30〜18:30,日曜日,https://cdn.e-uchina.net/media/shop/005164/0c35b71692dca7bc124c08a47dce2739e67bc8a5.jpg,沖縄県知事免許(2)第2923号
カテナ株式会社,沖縄県沖縄市知花 1-19-9,098-923-3222,https://www.e-uchina.net/fudosan_kaisha/6304,営業 09:00〜18:00,日曜日・年末年始・旧盆,https://cdn.e-uchina.net/media/shop/006304/ebc843cde1d05cead3f55fd1b7d9f464df36a780.jpg,沖縄県知事免許(2)第4509号
(有)嘉手納住宅,沖縄県嘉手納町水釜 204,098-956-2530,https://www.e-uchina.net/fudosan_kaisha/5742,営業A 09:00〜18:00営業B,日・祝祭日,https://cdn.e-uchina.net/media/shop/005742/45e8f831685d1147c114804215a9442f451111ab.jpg,沖縄県知事免許(11)第1113号
gato株式会社,沖縄県沖縄市上地 1-4-6,098-989-4090,https://www.e-uchina.net/fudosan_kaisha/7329,09:00〜18:00,日曜日,https://cdn.e-uchina.net/media/shop/007329/7b4c6325c33b5a824d1be8ce952cbac2d8c70950.jpg,沖縄県知事免許(1)第4655号
株式会社カナエハウジング,沖縄県北谷町美浜 3-4-5,098-923-0440,https://www.e-uchina.net/fudosan_kaisha/6330,09:00〜17:00,土曜・日曜・祝日,https://cdn.e-uchina.net/media/shop/006330/275fb668cf051e9347e52723cde78f3fd1b2e1cd.jpg,沖縄県知事番号(1)第5571
(有)カナエホームズ,沖縄県北谷町美浜 3-4-5,098-936-9330,https://www.e-uchina.net/fudosan_kaisha/5211,月-金 09:00〜17:00,土曜・日曜・祝祭日,https://cdn.e-uchina.net/media/shop/005211/40c6c114a7a7d8c4cb22a61425c581a6328cbc85.jpg,沖縄県知事免許(8)第2294号
金秀建設　株式会社,沖縄県那覇市旭町 112-1 金秀ビル東館4階,098-869-1350,https://www.e-uchina.net/fudosan_kaisha/6520,平日 08:00〜17:00,土・日・GW・お盆・年末年始,https://www.e-uchina.net/asset/front/img/no-thumbnail.jpg,沖縄県知事第1827号(10)
金秀ホールディングス（株）,沖縄県那覇市旭町 112-1 金秀ビル8F,098-868-6699,https://www.e-uchina.net/fudosan_kaisha/6487,平日 08:00〜17:00,土・日・年末年始・GW,https://cdn.e-uchina.net/media/shop/006487/db08a79f0ceaaa8aecdc2bae9dbeb2e675d79b63.jpg,沖縄県知事免許番号（10）第1676号
金弘商事,沖縄県うるま市平良川 145-3,098-974-2069,https://www.e-uchina.net/fudosan_kaisha/5301,10:00〜19:00,土･日･祝(定休日も電話での対応可能),https://cdn.e-uchina.net/media/shop/005301/cb0a834d4c69bdef9914455c160062a82cd07f5a.jpg,沖縄県知事免許 (6)第2967号
(株)かね屋,沖縄県宜野湾市伊佐 4-2-3 スカイマンション 103,098-897-7705,https://www.e-uchina.net/fudosan_kaisha/5256,09:00〜19:00,日曜日・年末年始,https://cdn.e-uchina.net/media/shop/005256/3e0e797dcd4228b0aa647908cf6384817b2f1a9f.jpg,沖縄県知事免許(4)第3497号
カフーシー株式会社,沖縄県うるま市勝連平安名 2701-1,098-978-0586,https://www.e-uchina.net/fudosan_kaisha/7857,10:00〜19:00,日曜日,https://www.e-uchina.net/asset/front/img/no-thumbnail.jpg,沖縄県知事免許(1)第5300号
ｲｴｽﾃｰｼｮﾝ宜野湾店(かふう沖縄株式会社),沖縄県宜野湾市大山 2-9-2 前田商事第一ビル1B,098-917-6188,https://www.e-uchina.net/fudosan_kaisha/6440,月・火・木・金・土日 10:00〜19:00,水曜日・旧盆・年末年始・GW,https://cdn.e-uchina.net/media/shop/006440/e247bb57e8dc43035b804f4702967c7c532039e2.jpg,沖縄県知事免許(1)第5615
かふう企画,沖縄県うるま市赤野,098-923-0008,https://www.e-uchina.net/fudosan_kaisha/5194,営業A 09:00〜18:00営業B,日曜・祝祭日,https://cdn.e-uchina.net/media/shop/005194/fdae2c0fdaf4a94cc77743f022d0bfcd1793f328.jpg,沖縄県知事免許(2)4459号
嘉富不動産事務所,沖縄県浦添市伊祖 3-36-5 2F,098-988-1378,https://www.e-uchina.net/fudosan_kaisha/6342,月ー土 10:00〜18:00,日祝・GW・年末年始,https://cdn.e-uchina.net/media/shop/006342/2d8a011cfa2d1015a04b9a2beeebebc7ec691654.jpg,沖縄県知事免許(1)第5577号
（株）オフィス伊藤,沖縄県那覇市国場 1183-1 オーキッドハウスKAKAZU 205,098-959-0206,https://www.e-uchina.net/fudosan_kaisha/7482,09:00〜18:00,お盆・年末年始・GW,https://cdn.e-uchina.net/media/shop/007482/f31a0560dc8cfb416616b49a92fd5ff2bae067f6.jpg,沖縄県知事（1）4747号
株式会社　サラバンジ,沖縄県那覇市田原 2-4-4,098-988-1193,https://www.e-uchina.net/fudosan_kaisha/7872,09:00〜18:00,土、日、祝日、年末年始,https://cdn.e-uchina.net/media/shop/007872/472fdd74b95c6eadb9279395fda44f37ec4b1e59.jpg,沖縄県知事（1）第5233号
株式会社 アイハホーム,沖縄県うるま市石川 2-28-3,098-987-8882,https://www.e-uchina.net/fudosan_kaisha/7565,月-日 09:00〜19:00,,https://www.e-uchina.net/asset/front/img/no-thumbnail.jpg,沖縄県知事免許番号（1）第5059号
株式会社　朝日ホーム21,沖縄県浦添市安波茶 2-10-1,098-877-3286,https://www.e-uchina.net/fudosan_kaisha/5892,営業A 09:00〜18:00営業B,水曜日,https://cdn.e-uchina.net/media/shop/005892/ebce1bf40764e5592ba63f2da97db08ba185a2cc.jpg,宅建：沖縄県知事免許(３)第4108号　　　　　建設：沖縄県知事免許（般-５）第11122号
株式会社　アメージングホーム,沖縄県那覇市寄宮 1-14-2 仲田ハイツ1F,098-851-9657,https://www.e-uchina.net/fudosan_kaisha/7894,10:00〜17:00,日、祝、GW、年末年始,https://cdn.e-uchina.net/media/shop/007894/a33171a02b7518051767a4f4df9d555499e9aeaa.jpg,沖縄県知事（1）第5476号
株式会社　飯田産業　那覇営業所,沖縄県那覇市銘苅 1-2-7,098-860-3788,https://www.e-uchina.net/fudosan_kaisha/7982,月〜日 10:00〜19:00,年末年始,https://cdn.e-uchina.net/media/shop/007982/5aa0ae813bd266b995341a2088bfc53e4d398d15.jpg,宅地建物取引業免許国土交通大臣（10）第3306号
株式会社 With-Trust,沖縄県沖縄市登川 2505-4,098-923-5970,https://www.e-uchina.net/fudosan_kaisha/7512,09:00〜18:00,土・日・祝　【email：with.trust.co@gmail.com】,https://cdn.e-uchina.net/media/shop/007512/bee715234646c211128fe84733a2b0e1d8398c20.jpg,沖縄県知事(2)第4962号
株式会社　ウェーブリゾート　読谷支店,沖縄県読谷村古堅 641-1 イオンタウン読谷ショッピングモール内,098-989-3370,https://www.e-uchina.net/fudosan_kaisha/7396,09:00〜18:00,年中無休(GW、旧盆、年末年始除く),https://cdn.e-uchina.net/media/shop/007396/a26528fc15469875d022f0867773ef76f319d5e8.jpg,沖縄県知事（2）第4936号
株式会社 エナジーホーム,沖縄県那覇市金城 2-11-4,098-857-1682,https://www.e-uchina.net/fudosan_kaisha/5746,平日 09:00〜18:00土 10:00〜18:00,日曜・祝日･ＧＷ・年末年始,https://cdn.e-uchina.net/media/shop/005746/25ce94ba13f09c5c00e1eb4f5f0a27dc523dcec2.jpg,沖縄県知事免許(1)第5226号
株式会社　大盛不動産,沖縄県南風原町津嘉山 1498,098-889-6677,https://www.e-uchina.net/fudosan_kaisha/5070,10:00〜19:00,日曜日,https://cdn.e-uchina.net/media/shop/005070/9905cde411d3ab3f067bf6c7c4f8394fb2afb862.jpg,沖縄県知事免許(1)第5511号
株式会社 開邦不動産,沖縄県沖縄市山内 2-15-5,098-932-5075,https://www.e-uchina.net/fudosan_kaisha/5141,09:00〜18:00,日・祝祭日,https://cdn.e-uchina.net/media/shop/005141/7c73d26fbdc9c789d58b2b5d2492a0f70669bc27.jpg,沖縄県知事免許(1)第5480号
(株)共立クリエイト,沖縄県那覇市松島 1-15-11 共立クリエイトビル2F,098-886-6001,https://www.e-uchina.net/fudosan_kaisha/5743,月-土 09:00〜18:00,日曜・祝祭日,https://cdn.e-uchina.net/media/shop/005743/4eeb58f7f30dd42d378a3c0c6d9c8f1ecd7a9b6a.jpg,沖縄県知事免許(3)第4176号
株式会社 クレス不動産 沖縄営業所,沖縄県沖縄市久保田 3-5-5 アーバンライフセントラル B,098-987-8242,https://www.e-uchina.net/fudosan_kaisha/7519,月-日 09:00〜18:00,水曜日（水曜が祝日の場合は営業）,https://cdn.e-uchina.net/media/shop/007519/f7c75297db8aab1b0baa1c3e685b8e216511365a.jpg,国土交通大臣（3）第8452号
株式会社　建築市場,沖縄県宜野湾市真志喜 624-1,098-988-8820,https://www.e-uchina.net/fudosan_kaisha/7885,営業A 09:00〜18:00営業B,火曜日・水曜日,https://www.e-uchina.net/asset/front/img/no-thumbnail.jpg,沖縄県知事免許番号　（１）第5168号
株式会社　彩都ハウジング,沖縄県宜野湾市宇地泊 730-1,098-890-3360,https://www.e-uchina.net/fudosan_kaisha/5801,平日 09:00〜18:00,日曜日,https://cdn.e-uchina.net/media/shop/005801/d46850a07c1cea49e4f6e56e400da723b77704b9.jpg,沖縄県知事免許(3)第4007号
（株）座波商会,沖縄県浦添市城間 3019 番地,098-878-0523,https://www.e-uchina.net/fudosan_kaisha/7706,09:00〜17:00,土・日・祝日,https://cdn.e-uchina.net/media/shop/007706/a3cab21d757a092c590b7f66b0e652a118e338b1.jpg,沖縄県知事免許番号（3）第4355号
株式会社　三誓,沖縄県西原町内間 414-3,098-946-3914,https://www.e-uchina.net/fudosan_kaisha/7996,月ー金 09:00〜18:00,土・日曜日,https://cdn.e-uchina.net/media/shop/007996/421a1d9ff0525f21eef34af18d77ed73a76494a1.jpg,沖縄県知事(1)第5227号
株式会社SUNSET IN,沖縄県豊見城市豊崎 1-1175 ジ・オーシャンテラス豊崎618号室,098-996-5734,https://www.e-uchina.net/fudosan_kaisha/6450,10:00〜19:00,年中無休,https://cdn.e-uchina.net/media/shop/006450/4ff252cec759249a4cd5adbed026b95e2ef54a63.jpg,沖縄県知事(1)第5620号
株式会社CCS,沖縄県糸満市糸満 1007,098-994-6022,https://www.e-uchina.net/fudosan_kaisha/6363,09:00〜18:00,土・日,https://www.e-uchina.net/asset/front/img/no-thumbnail.jpg,沖健知事(1)第5522号
(株)シャイン不動SUN 中部支店,沖縄県沖縄市美原 1-5-5,098-989-6113,https://www.e-uchina.net/fudosan_kaisha/6380,09:00〜18:00,日曜日、祝祭日、GW、旧盆、年末年始,https://cdn.e-uchina.net/media/shop/006380/20417b2d5b5bf8ac39dd4486afb8d16d172f729c.jpg,沖縄県知事免許(3)第4373号
株式会社 JUN企画,沖縄県名護市為又 864-5,0980-53-5310,https://www.e-uchina.net/fudosan_kaisha/5475,08:30〜18:00,日曜日,https://cdn.e-uchina.net/media/shop/005475/ed04b35e28f033c00570724e201769370c87cc22.jpg,沖縄県知事免許(4)第3856号
株式会社　STARTLINE,沖縄県南風原町兼城 298,098-888-0085,https://www.e-uchina.net/fudosan_kaisha/6303,月〜金 09:00〜17:00土 09:30〜15:30,日曜・祝祭日・GW・年末年始,https://cdn.e-uchina.net/media/shop/006303/89fb9f08a23582bc55d04fd94488a607ff8c4cbf.jpg,沖縄県知事免許(1)第5740号
株式会社　選家,沖縄県那覇市鏡原町 6-5,098-996-4430,https://www.e-uchina.net/fudosan_kaisha/7886,月〜土 10:00〜18:00 日曜日・祝日の対応できます！前日までにご連絡ください♪Mon~Sat 10:00〜18:00 English Support is available. Contact us!,日曜日・祝日・GW・年末年始,https://cdn.e-uchina.net/media/shop/007886/17aa8cf40500460be19aad0b75a3b72ddcb85214.jpg,沖縄県知事免許(1)第5429号
株式会社デザインスタジオ琉球樂団,沖縄県浦添市屋富祖 1-3-13,098-874-5600,https://www.e-uchina.net/fudosan_kaisha/7635,09:00〜18:00,不定休,https://cdn.e-uchina.net/media/shop/007635/ea58bc5cd97bc43993d334c45e64e0b195108abf.jpg,沖縄県知事免許(2)第4488号
株式会社　TOMY Trust Campany,沖縄県浦添市牧港 2-33-7 6F,098-960-3579,https://www.e-uchina.net/fudosan_kaisha/7721,09:00〜21:00,年中無休,https://cdn.e-uchina.net/media/shop/007721/a5bdfdce38c5f03a9b020d57d377f437c987418c.jpg,沖縄県知事(2)第4793号
株式会社　南国,沖縄県沖縄市比屋根 1-2-1,098-979-9636,https://www.e-uchina.net/fudosan_kaisha/7677,月‐金 10:00〜17:00,土・日・祝日,https://cdn.e-uchina.net/media/shop/007677/7c01b09237537731d10029a99d142d7a8663c98c.jpg,沖縄県知事免許番号（1）第5095号
株式会社 南西ハウジング,沖縄県中城村南上原 955-2,098-895-1833,https://www.e-uchina.net/fudosan_kaisha/7600,月-土 09:00〜18:00,日曜日,https://cdn.e-uchina.net/media/shop/007600/6fbd33946cca95ec81e3a58b81b8bd8c767c41c2.jpg,宅建免許番号（1）第4986号
株式会社 ハウスドゥ住宅販売 ハウスドゥ 那覇新都心,沖縄県那覇市天久 2-29-18,098-860-0733,https://www.e-uchina.net/fudosan_kaisha/7162,平日 09:00〜17:30土日祝 09:00〜19:00,水曜日,https://cdn.e-uchina.net/media/shop/007162/0ce4202647f51d4cacbf754dd86a61333f4aac73.jpg,国土交通大臣免許(3)第8007号
(株)ハウスドゥ住宅販売 ハウスドゥ 那覇,沖縄県那覇市国場 1192-1,098-835-9881,https://www.e-uchina.net/fudosan_kaisha/5894,平日 09:00〜17:30土日祝 09:00〜19:00,水曜日,https://cdn.e-uchina.net/media/shop/005894/b39e2540cf8feec7557b558719c6b8e701cc3a9f.jpg,国土交通大臣免許(3)第8007号
株式会社　浜里不動産,沖縄県宜野湾市我如古 2-11-1,098-897-6451,https://www.e-uchina.net/fudosan_kaisha/5338,09:30〜18:00,正月・G/W・旧盆,https://cdn.e-uchina.net/media/shop/005338/c2447486a6e959c35afd7463acea10550c3f08fc.jpg,沖縄県知事免許(6)第3101号
株式会社 万保,沖縄県名護市為又 1220-287,0980-52-0558,https://www.e-uchina.net/fudosan_kaisha/7599,09:00〜17:30 お客様のご都合に合わせて17：30以降もご相談可能です。,土･日･年末年始･GW,https://cdn.e-uchina.net/media/shop/007599/56d0c0e0fa92b2a425f8578a8ee4379c216d2337.jpg,沖縄県知事免許（2）第4507号
株式会社　ファースト,沖縄県那覇市曙 3-16-16,098-988-4755,https://www.e-uchina.net/fudosan_kaisha/7968,09:00〜18:00,水曜日　年末年始,https://cdn.e-uchina.net/media/shop/007968/54bf4db41f4d7387870a7a3e90b3c1ed8ac7fcc4.jpg,国土交通大臣（1）第10292号
(株)不動産の依頼所　沖縄市コザ支店,沖縄県沖縄市中央 1-4-14,098-988-7500,https://www.e-uchina.net/fudosan_kaisha/7246,月・火・木・金 09:00〜18:00 近隣駐車場2台有ります　お気軽にお問合せ下さい♪土・日 09:00〜18:00,水曜日･祝日(土日は営業)･年末年始,https://cdn.e-uchina.net/media/shop/007246/bfec4fff1c9e6678c2848da98691d919b0b360be.jpg,沖縄県知事免許(1)第5175号
株式会社　プライムルーム,沖縄県北谷町美浜 3-1-9 B-1号室,098-989-3388,https://www.e-uchina.net/fudosan_kaisha/7978,09:00〜17:00,日,https://cdn.e-uchina.net/media/shop/007978/e974a7c2d140bfccd8366539924676e703a837dc.jpg,沖縄県知事(1)第5525号
株式会社 PLUS ONE,沖縄県浦添市城間 4-1-9,098-988-8630,https://www.e-uchina.net/fudosan_kaisha/7333,月-土 09:30〜18:00,日曜・祝祭日,https://cdn.e-uchina.net/media/shop/007333/a6e460a0359ebb24fec71172620e1acb776a9d8c.jpg,沖縄県知事免許番号（2）第4841号
株式会社　プラン沖縄,沖縄県与那原町板良敷 854-6,098-882-0906,https://www.e-uchina.net/fudosan_kaisha/5084,08:00〜17:30,土・日・祝祭日・年末年始,https://cdn.e-uchina.net/media/shop/005084/aa4a4a2f4d041c9219d2304f527f2b735c48f772.jpg,沖縄県知事免許(6)第3180号
株式会社　Blessed,沖縄県浦添市安波茶 3-1-15,098-875-3436,https://www.e-uchina.net/fudosan_kaisha/6401,10:00〜17:00,不定休,https://www.e-uchina.net/asset/front/img/no-thumbnail.jpg,沖縄県知事免許(1)第5464号
(株)Blossom,沖縄県嘉手納町嘉手納 302-1,098-989-3026,https://www.e-uchina.net/fudosan_kaisha/7992,月〜金 09:00〜12:00月〜金 13:00〜18:00,土日祝・GW・お盆・年末年始,https://www.e-uchina.net/asset/front/img/no-thumbnail.jpg,沖縄県知事(1)第5154号
株式会社HOME KAFUKA,沖縄県那覇市上間 240-2,098-996-5702,https://www.e-uchina.net/fudosan_kaisha/6366,09:00〜18:00,水曜日,https://cdn.e-uchina.net/media/shop/006366/4becf4b4ca9e777faed5313e6d2b9507ff5c86ca.jpg,沖縄県知事(1)第5599号
株式会社 Makky Home,沖縄県読谷村波平 1919-2,098-923-1691,https://www.e-uchina.net/fudosan_kaisha/7531,営業A 09:00〜18:00営業B,なし,https://cdn.e-uchina.net/media/shop/007531/0eebc1434803a60b14888bbb960b40650c5a87f8.jpg,沖縄県知事(１)5321号
株式会社　丸浩ライフ・ワン,沖縄県石垣市真栄里 260,0980-84-2111,https://www.e-uchina.net/fudosan_kaisha/7698,営業A営業B,,https://cdn.e-uchina.net/media/shop/007698/f1e5d1d896ba91412af55fbfb267fd8007cfd853.jpg,沖縄県知事免許(1)5155号
株式会社 マルユウハウジー南部支店,沖縄県豊見城市翁長 533-7,098-850-1104,https://www.e-uchina.net/fudosan_kaisha/7692,月-土 10:00〜18:00,日曜日・水曜日,https://cdn.e-uchina.net/media/shop/007692/18d6f227c9a58b5a4c37fdeab45d8d988434b2b1.jpg,沖縄県知事免許番号（3）第4328号
株式会社　吉国,鹿児島県奄美市名瀬矢之脇町 4-1,0997-52-2062,https://www.e-uchina.net/fudosan_kaisha/7926,09:00〜18:00,年中無休,https://www.e-uchina.net/asset/front/img/no-thumbnail.jpg,鹿児島県知事免許（1）第6361号
株式会社　LEE HOME,沖縄県宮古島市平良字西里 649-2,0980-73-3393,https://www.e-uchina.net/fudosan_kaisha/7879,月～日 09:00〜18:00,年末年始・電話応対可,https://cdn.e-uchina.net/media/shop/007879/816248836a2c74d4229d8075d7cb0fa77a0e905d.jpg,沖縄県知事（1）第5399号
株式会社　Ryukyu Housing,沖縄県北谷町北前 283 1F,098-989-3999,https://www.e-uchina.net/fudosan_kaisha/6521,09:00〜18:00,日曜日・年末年始,https://cdn.e-uchina.net/media/shop/006521/2cf9352050cb927da9c54e31941232ede02daec2.jpg,沖縄県知事(1)第5664号
株式会社 RYUSEI HOME,沖縄県宜野湾市真志喜 2-15-1,098-897-7011,https://www.e-uchina.net/fudosan_kaisha/5665,営業A 09:00〜18:00,日曜日,https://cdn.e-uchina.net/media/shop/005665/7a942b0c4d758ba15b0c5b601f2fffd6ffa41da0.jpg,沖縄県知事免許(1)第5115号
株式会社　琉美不動産,沖縄県宜野湾市宇地泊 2-10-38 102,098-943-3636,https://www.e-uchina.net/fudosan_kaisha/7687,平日 10:00〜19:00土日祝日 09:30〜18:30,年末年始,https://cdn.e-uchina.net/media/shop/007687/d983d76e0088b9d676c34be4c17f86c6f5f7d496.jpg,沖縄県知事免許(1)第5075号
